"us" "led" "dir" "war2" "warcri" "warcase" "scmedian" "lctdir" "analu" "value" "term" "nyt" "rally2" "crisis" "sgwin" "uswin" "bef75" "scm" "scm2"
" 3180629" "        " 0 1 1 0  0.750 0 0 2 1942 0 0 0 NA  1 1 1.250 1.562500
" 3180702" "        " 0 1 1 0  0.750 1 0 1 1942 0 0 0 NA  1 1 1.250 1.562500
" 3180705" "        " 1 1 1 0  0.750 1 0 2 1942 0 0 0  1 NA 1 1.250 1.562500
" 3190033" "        " 0 1 1 2  0.750 0 0 3 1942 0 0 0 NA  1 1 1.250 1.562500
" 3190103" "        " 1 1 1 0  0.750 0 0 3 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190105" "        " 1 1 1 0  0.750 0 0 3 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190141" "        " 1 1 1 0  0.750 0 0 3 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190266" "        " 1 1 1 0  0.750 0 0 4 1942 0 0 0 NA  1 1 1.250 1.562500
" 3190427" "        " 0 1 1 0  0.750 0 0 1 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190463" "        " 1 1 1 0  0.750 0 0 1 1942 0 1 0 NA  0 1 1.250 1.562500
" 3190474" "        " 0 1 1 0  0.750 1 0 2 1942 0 0 0 NA  0 1 1.250 1.562500
" 3190484" "        " 1 1 1 2  0.750 0 0 2 1942 0 0 0 NA  0 1 1.250 1.562500
" 3190503" "        " 0 1 1 0  0.750 1 0 1 1942 0 0 0 NA  1 1 1.250 1.562500
" 3190561" "        " 0 1 1 0  0.750 0 0 2 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190579" "        " 1 1 1 0  0.750 0 0 3 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190583" "        " 1 1 1 2  0.750 0 0 3 1942 0 0 0 NA NA 1 1.250 1.562500
" 3190598" "        " 0 1 1 0  0.750 1 0 2 1942 0 0 0 NA  0 1 1.250 1.562500
" 3190624" "        " 1 1 1 0  0.750 1 0 3 1942 1 0 0 NA NA 1 1.250 1.562500
" 3190703" "        " 0 1 1 0  0.750 0 0 1 1942 0 0 0 NA  1 1 1.250 1.562500
" 3200081" "        " 0 1 1 0  0.750 0 0 3 1942 0 0 0 NA  1 1 1.250 1.562500
